input_id	dealiased_id	standard_id	short_id
doi:10.1109/CVPRW.2017.151	doi:10.1109/CVPRW.2017.151	doi:10.1109/cvprw.2017.151	1O0bopKD
doi:10.1109/CVPR.2017.632	doi:10.1109/CVPR.2017.632	doi:10.1109/cvpr.2017.632	LxlUp436
doi:10.1109/CVPR.2019.00963	doi:10.1109/CVPR.2019.00963	doi:10.1109/cvpr.2019.00963	11chATuF4
doi:10.1038/s41592-018-0111-2	doi:10.1038/s41592-018-0111-2	doi:10.1038/s41592-018-0111-2	Yq8wZ6hc
doi:10.1038/s42256-022-00471-x	doi:10.1038/s42256-022-00471-x	doi:10.1038/s42256-022-00471-x	WwenuBHa
doi:10.1038/s41592-021-01080-z	doi:10.1038/s41592-021-01080-z	doi:10.1038/s41592-021-01080-z	wcCVn8av
doi:10.1038/s41592-021-01249-6	doi:10.1038/s41592-021-01249-6	doi:10.1038/s41592-021-01249-6	xPgDok51
doi:10.1038/s41592-021-01155-x	doi:10.1038/s41592-021-01155-x	doi:10.1038/s41592-021-01155-x	UEBDZ3tI
doi:10.1007/978-3-319-24574-4_28	doi:10.1007/978-3-319-24574-4_28	doi:10.1007/978-3-319-24574-4_28	TutLhFSz
embedseg	embedseg	embedseg	QmYuUQ5K
doi:10.1038/s42256-019-0096-2	doi:10.1038/s42256-019-0096-2	doi:10.1038/s42256-019-0096-2	RuFP3CS3
doi:10.1109/ICCV.2017.244	doi:10.1109/ICCV.2017.244	doi:10.1109/iccv.2017.244	6wtIu4QY
doi:10.5281/zenodo.3828935	doi:10.5281/zenodo.3828935	doi:10.5281/zenodo.3828935	YbvSvdyB
swatrain	swatrain	swatrain	qzeQFRn9
doi:10.1109/CVPR.2009.5206848	doi:10.1109/CVPR.2009.5206848	doi:10.1109/cvpr.2009.5206848	lt4BNUoG
doi:10.5281/zenodo.4323059	doi:10.5281/zenodo.4323059	doi:10.5281/zenodo.4323059	UU62HYC6
doi:10.5281/zenodo.6585658	doi:10.5281/zenodo.6585658	doi:10.5281/zenodo.6585658	ONdyoUIo
doi:10.1101/491035	doi:10.1101/491035	doi:10.1101/491035	jM3v1UjQ
doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	doi:10.1371/journal.pcbi.1007128	YuJbg3zO
doi:10.5281/zenodo.6139958	doi:10.5281/zenodo.6139958	doi:10.5281/zenodo.6139958	xv2VIyRP
doi:10.1101/2020.12.08.415562	doi:10.1101/2020.12.08.415562	doi:10.1101/2020.12.08.415562	scdyUQvV
doi:10.1007/978-3-030-12029-0_40	doi:10.1007/978-3-030-12029-0_40	doi:10.1007/978-3-030-12029-0_40	M7480NLD
attentionUnet	attentionUnet	attentionUnet	OCow1hly
doi:10.1007/978-3-031-08999-2_22	doi:10.1007/978-3-031-08999-2_22	doi:10.1007/978-3-031-08999-2_22	ZWL3IrVc
doi:10.1109/WACV51458.2022.00181	doi:10.1109/WACV51458.2022.00181	doi:10.1109/wacv51458.2022.00181	XCKUntOB
doi:10.1109/CVPR.2018.00917	doi:10.1109/CVPR.2018.00917	doi:10.1109/cvpr.2018.00917	Nh6ArbP5
doi:10.1109/TMI.2015.2433900	doi:10.1109/TMI.2015.2433900	doi:10.1109/tmi.2015.2433900	45Sirz1X
doi:10.1016/j.media.2016.08.008	doi:10.1016/j.media.2016.08.008	doi:10.1016/j.media.2016.08.008	XAffSYIR
doi:10.1109/ISBI.2009.5193250	doi:10.1109/ISBI.2009.5193250	doi:10.1109/isbi.2009.5193250	tQhnZyjK
doi:10.1038/s41598-021-81590-0	doi:10.1038/s41598-021-81590-0	doi:10.1038/s41598-021-81590-0	3L5MIyIB
doi:10.1007/978-3-030-00934-2_30	doi:10.1007/978-3-030-00934-2_30	doi:10.1007/978-3-030-00934-2_30	tIIG2f8K
doi:10.1109/WACV45572.2020.9093435	doi:10.1109/WACV45572.2020.9093435	doi:10.1109/wacv45572.2020.9093435	14h90Vfg0
doi:10.1038/s41592-020-01018-x	doi:10.1038/s41592-020-01018-x	doi:10.1038/s41592-020-01018-x	TugPkOLy
doi:10.1109/ISBI48211.2021.9433928	doi:10.1109/ISBI48211.2021.9433928	doi:10.1109/isbi48211.2021.9433928	17Yrl6WGQ
doi:10.1109/TPAMI.2018.2844175	doi:10.1109/TPAMI.2018.2844175	doi:10.1109/tpami.2018.2844175	xi8wnibR
doi:10.1021/cb900084v	doi:10.1021/cb900084v	doi:10.1021/cb900084v	138foKNOh
HDN	HDN	HDN	4vnyY9J9
doi:10.1109/ISBI45749.2020.9098612	doi:10.1109/ISBI45749.2020.9098612	doi:10.1109/isbi45749.2020.9098612	JVOCBBq0
doi:10.1038/s41592-018-0216-7	doi:10.1038/s41592-018-0216-7	doi:10.1038/s41592-018-0216-7	12G712Zky
doi:10.48550/arXiv.2206.13419	doi:10.48550/arXiv.2206.13419	doi:10.48550/arxiv.2206.13419	srrRoFXR
doi:10.48550/arXiv.2208.14125	doi:10.48550/arXiv.2208.14125	doi:10.48550/arxiv.2208.14125	1A3yurr7m
doi:10.5281/zenodo.3555620	doi:10.5281/zenodo.3555620	doi:10.5281/zenodo.3555620	YEMgt2T4
